,Date,Ice_Surface_Temperature_Mean,Ice_Surface_Temperature_Melt_NoMelt,Albedo,Water_Vapor_Near_Infrared_Mean,NSwaths_and_Hour_Tracker
0,2011-05-17,177.92114,19.98148875,120.93258805555556,0.5280401,44438853.860844165
1,2011-05-18,177.25209,19.89656972222222,121.02681458333333,0.47269636,45492970.80825472
2,2011-05-19,175.64998,20.29753,121.86863833333334,0.494886,47480863.544087775
3,2011-05-20,176.40945,20.053332083333334,123.47278680555556,0.49913704,34137683.141595
4,2011-05-21,181.28976,18.99324097222222,122.11415916666667,0.47373816,43433642.08742833
5,2011-05-22,170.66345,21.610342222222222,123.73700444444444,0.5085216,36721946.473684445
6,2011-05-23,182.86276,18.915814027777778,123.00191305555556,0.5410461,47347639.79350278
7,2011-05-24,195.954,16.182836388888887,119.48852472222222,0.5685256,41469719.80288361
8,2011-05-25,183.74464,18.670326527777778,120.89522138888888,0.5102981,51457156.661981665
9,2011-05-26,180.49207,19.401232083333333,124.06856541666667,0.595823,45146974.09913597
10,2011-05-27,188.60428,17.77878875,125.23359222222223,0.5983295,47735981.75788597
11,2011-05-28,179.51366,19.584808194444445,122.45145513888889,0.54905015,48505854.494604446
12,2011-05-29,186.63516,18.18053513888889,121.64466930555555,0.59002435,45883871.02364139
13,2011-05-30,187.74695,17.818727916666667,119.31147847222222,0.5457469,58761397.28297264
14,2011-05-31,177.08359,20.294965555555557,120.6014326388889,0.6020783,48163425.96529778
15,2011-06-01,192.73895,16.56930847222222,118.30861458333334,0.4689797,62122646.80295931
16,2011-06-02,190.93217,17.23172013888889,118.56756402777778,0.51129067,54231569.72085458
17,2011-06-03,198.69635,15.492101666666667,119.59345472222222,0.53638583,64301896.93712694
18,2011-06-04,197.92815,15.642870694444444,126.32716194444444,0.7258107,57544512.00591333
19,2011-06-05,208.06427,14.001905277777778,123.97281013888889,0.686938,43733679.256690554
20,2011-06-06,191.49721,17.69538027777778,128.98997777777777,0.848883,45758127.65402181
21,2011-06-07,186.66069,19.09611263888889,124.38065888888889,0.9008656,42643994.920777775
22,2011-06-08,190.59702,18.18941611111111,123.06551555555555,0.84699845,56501582.53874306
23,2011-06-09,201.82191,15.996406111111112,122.17584416666666,0.8893197,52216472.223195
24,2011-06-10,200.6691,16.2370325,118.90768972222222,0.8162326,70249070.44460459
25,2011-06-11,199.99126,16.46139125,123.42014041666667,0.8881561,63148827.692009725
26,2011-06-12,185.74025,19.80551138888889,126.5122976388889,0.9249843,54479605.477606386
27,2011-06-13,194.60358,18.080592916666667,128.60060583333333,0.9575921,62443017.30685555
28,2011-06-14,201.66786,16.7140925,125.89526222222223,1.0253037,61027126.31539167
29,2011-06-15,207.08997,15.14338875,126.39288194444444,0.87324536,49213624.83578778
30,2011-06-16,181.42313,20.76022625,132.43235666666666,1.0121481,35870956.42506028
31,2011-06-17,190.48265,18.568553333333334,130.585995,0.859083,47831771.38342194
32,2011-06-18,194.58052,17.62998,121.11535333333333,0.9647325,51659016.06051389
33,2011-06-19,202.51892,15.907091944444444,122.03764402777777,0.96414685,58929015.461616665
34,2011-06-20,191.61526,18.184089166666666,120.42845097222222,0.9070119,59198189.41605736
35,2011-06-21,192.05902,18.320066666666666,119.15145111111111,0.9569908,52669834.7781575
36,2011-06-22,194.91583,17.642632777777777,121.92986486111111,0.9473064,57837240.902092084
37,2011-06-23,194.2846,17.970710555555556,123.47668541666667,1.0082184,48709365.84999722
38,2011-06-24,196.1253,17.521130833333334,122.595175,0.9663668,58791977.66224639
39,2011-06-25,203.60793,16.018485555555557,119.5800951388889,0.95796126,58483572.54545361
40,2011-06-26,211.99644,14.116763472222223,121.55528125,0.9422658,69060595.67962514
41,2011-06-27,204.61198,15.668958194444444,121.40981930555556,0.97461647,64672498.145835556
42,2011-06-28,200.80511,16.597449722222223,122.45556527777778,0.8918341,60339932.491464585
43,2011-06-29,218.73973,12.80280625,122.26292194444444,0.8211665,67300509.96508265
44,2011-06-30,209.55334,14.928288055555555,121.82790583333333,0.9120889,55868964.72714555
45,2011-07-01,203.22722,16.17270597222222,124.69436625,0.94081175,57978853.968571804
46,2011-07-02,195.91306,18.06375152777778,123.80797972222223,1.021829,49141648.72186528
47,2011-07-03,195.1021,17.862865416666665,124.72994097222222,0.81854516,59887192.45761194
48,2011-07-04,193.99223,18.26539777777778,123.12600513888889,0.947849,52510518.07299722
49,2011-07-05,196.63846,17.30241277777778,123.03282958333334,0.9884325,54758755.69357764
50,2011-07-06,184.09279,20.14077375,130.70277069444444,0.96573484,42999927.56869222
51,2011-07-07,162.06224,25.200468611111113,128.7023198611111,1.0665569,32710595.24309
52,2011-07-08,169.00919,23.47716722222222,131.69910097222223,0.96133155,35722373.768976666
53,2011-07-09,144.56091,28.725643333333334,133.61797875,0.9526649,23904914.69008722
54,2011-07-10,169.15982,23.15846402777778,130.14262666666667,0.96231633,39595076.52114667
55,2011-07-11,162.42206,25.166818055555556,128.9335661111111,0.89540446,31629920.28508639
56,2011-07-12,169.05162,23.63346111111111,129.3974597222222,0.9429022,40920638.78198556
57,2011-07-13,177.96614,21.77900125,131.16669555555555,1.1531515,40591270.27041347
58,2011-07-14,190.6838,19.32883763888889,126.11332583333333,1.19341,49716993.29685306
59,2011-07-15,210.90504,14.806038611111111,128.61326708333334,1.1695642,60428878.41258028
60,2011-07-16,196.07799,18.001764305555554,128.71363333333332,1.0658582,47294008.309712775
61,2011-07-17,187.79411,19.70002722222222,135.04156277777778,1.1111187,46633534.75555583
62,2011-07-18,159.6396,25.783304861111112,134.18311152777778,1.1244395,36536837.03707667
63,2011-07-19,197.73824,17.320071666666667,127.00580527777778,0.9501067,57447857.3619668
64,2011-07-20,182.5186,20.888449583333333,130.72179722222222,1.0051808,44277015.988248475
65,2011-07-21,198.85376,17.200896944444445,126.08950444444444,0.9803857,60723680.5155
66,2011-07-22,174.43806,22.411044583333332,133.37002166666667,1.0335712,41748577.16930403
67,2011-07-23,176.34395,22.122270555555556,127.40925277777778,1.0114402,39914946.38484361
68,2011-07-24,194.48747,18.17682513888889,124.78743222222222,1.0219852,60567271.03580042
69,2011-07-25,176.3401,22.319052916666667,129.49210875,1.0033177,46702044.99719056
70,2011-07-26,182.3039,20.8789775,126.60177986111111,1.013607,52066790.14454736
71,2011-07-27,165.02309,24.32539361111111,130.4821273611111,1.0302317,35411836.57837917
72,2011-07-28,164.104,24.409744166666666,135.21569930555555,0.94871557,27196969.38547
73,2011-07-29,172.97011,22.500421944444444,131.62974013888888,0.8804585,29757566.703555554
74,2011-07-30,195.97717,17.814863055555556,124.45067847222222,1.1296469,43350361.96933278
